"forms_id","unit_id","gloss_id","gloss","form","source"
8717,4141,20,"word","gič",2
8720,4144,20,"word","giǰ",2
8723,4147,20,"word","giǰbic",2
8724,4148,20,"word","giǰbicak",2
8747,4168,20,"word","gow-ambůn",2
8748,4169,20,"word","gowbůnak",2
8749,4169,20,"word","gowbůn",2
8771,4186,20,"word","gorδ",2
8773,4188,20,"word","gorδ-wiδič",2
8789,4195,20,"word","guzar",2
8793,4199,20,"word","guzargo",2
8809,4214,20,"word","gulamadi",2
8810,4214,20,"word","gulāmadi",2
8831,4232,20,"word","gulmêx",2
8832,4233,20,"word","gulmoyi",2
8833,4234,20,"word","gulnêx",2
8834,4235,20,"word","gulos",2
8836,4236,20,"word","gulosak",2
8844,4242,20,"word","gulɣunčā",2
8859,4255,20,"word","gumůn",2
8860,4255,20,"word","gumūn",2
8868,4260,20,"word","gund",2
8870,4262,20,"word","gund-rāng",2
8886,4273,20,"word","gurm",2
8901,4284,20,"word","guftušunīd",2
8902,4284,20,"word","guftišanīd",2
8909,4291,20,"word","guč",2
8920,4296,20,"word","guǰbuc",2
8941,4314,20,"word","gūx̌a-nix̌īni",2
8942,4314,20,"word","gūx̌a-našīni",2
8944,4316,20,"word","gūx̌ā",2
8945,4317,20,"word","gūx̌wor",2
8946,4318,20,"word","gūx̌t",2
8958,4328,20,"word","gůy",2
8973,4342,20,"word","gůli",2
8976,4345,20,"word","gůr",2
8985,4352,20,"word","gůrxanā",2
8998,4362,20,"word","dabdabā",2
9007,4371,20,"word","dawlat",2
9008,4372,20,"word","dawlat",2
9014,4378,20,"word","dawo",2
9017,4381,20,"word","dawodawi",2
9048,4407,20,"word","dakůn",2
9049,4407,20,"word","dakůnak",2
9055,4412,20,"word","dal-duq",2
9056,4412,20,"word","dāl-duq",2
9062,4417,20,"word","dalīlak",2
9065,4420,20,"word","dalyā",2
9070,4424,20,"word","dalqān",2
9094,4441,20,"word","damyā",2
9136,4475,20,"word","darā",2
9152,4487,20,"word","darbačā",2
9153,4488,20,"word","darbor",2
9154,4488,20,"word","durbor",2
9161,4494,20,"word","darvozā",2
9162,4494,20,"word","darwozā",2
9175,4504,20,"word","dargīlik",2
9176,4504,20,"word","dargīl-modik",2
9180,4508,20,"word","dard",2
9190,4517,20,"word","daryo",2
9212,4532,20,"word","darmūn",2
9235,4549,20,"word","darozi",2
9246,4559,20,"word","darozrund",2
9276,4585,20,"word","darūn",2
9279,4588,20,"word","darūn-dālīʒ",2
9281,4590,20,"word","darūn-dewol",2
9282,4591,20,"word","darūn-lat",2
9286,4594,20,"word","darūn-sūzax̌",2
9287,4595,20,"word","darūn-čālak",2
9300,4608,20,"word","dastambūy",2
